prompt,health_ailment,date,result
I have had Pneumonia since 03/06/2020 – 03/10/2020.,Pneumonia,03/06/2020 – 03/10/2020,success
I have had Exertional Rhabdomyolysis since Last month.,Exertional Rhabdomyolysis,Last month,success
I have Attention Deficit Hyperactivity Disorder (ADHD) since Last weekend.,Attention Deficit Hyperactivity Disorder (ADHD),Last weekend,success
"Since For the past 4 days, I’ve been dealing with Joint Sprain.",Joint Sprain,For the past 4 days,success
I have Delayed Onset Muscle Soreness (DOMS) since 03/21/2020 – 03/25/2020.,Delayed Onset Muscle Soreness (DOMS),03/21/2020 – 03/25/2020,success
Peptic Ulcer Disease have been affecting me since Last month.,Peptic Ulcer Disease,Last month,success
I've been experiencing Peptic Ulcer Disease since The second half of November 2019.,Peptic Ulcer Disease,The second half of November 2019,success
I have had Hyperthyroidism since 2019/11/10 – 2019/11/12.,Hyperthyroidism,2019/11/10 – 2019/11/12,success
I have Chronic Back Pain since Past week.,Chronic Back Pain,Past week,success
I have Tachycardia (Fast Heart Rate) since 2019/11/29 – 2019/12/15.,Tachycardia (Fast Heart Rate),2019/11/29 – 2019/12/15,success
Muscle Strain have been affecting me since Since the beginning of this year.,Muscle Strain,Since the beginning of this year,success
"Since 2019/11/29 – 2019/12/15, I’ve been dealing with Insomnia.",Insomnia,2019/11/29 – 2019/12/15,success
Migraine have been affecting me since 2020/01/28 – 2020/02/02.,Migraine,2020/01/28 – 2020/02/02,success
I have had Restless Legs Syndrome since 03/20/2020 – 03/27/2020.,Restless Legs Syndrome,03/20/2020 – 03/27/2020,success
I've been experiencing Dehydration since Past 12 hours.,Dehydration,Past 12 hours,success
I've been experiencing Psoriasis Urinary Tract Infection (UTI) since 2020/01/01 – 2020/01/07.,Psoriasis Urinary Tract Infection (UTI),2020/01/01 – 2020/01/07,success
"Since The first week of November 2019, I’ve been dealing with Chronic Kidney Disease.",Chronic Kidney Disease,The first week of November 2019,success
Heart Palpitations have been affecting me since Past 1 hour.,Heart Palpitations,Past 1 hour,success
I’ve been suffering from Attention Deficit Hyperactivity Disorder (ADHD) ever since 03/11/2020 – 03/14/2020.,Attention Deficit Hyperactivity Disorder (ADHD),03/11/2020 – 03/14/2020,success
I've been experiencing Benign Prostatic Hyperplasia (BPH) since The last quarter of 2019.,Benign Prostatic Hyperplasia (BPH),The last quarter of 2019,success
I’ve been suffering from Psoriasis Urinary Tract Infection (UTI) ever since Past 3 hours.,Psoriasis Urinary Tract Infection (UTI),Past 3 hours,success
Irritable Bowel Syndrome (IBS) have been affecting me since Past 1 hour.,Irritable Bowel Syndrome (IBS),Past 1 hour,success
Orthostatic Intolerance have been affecting me since 03/01/2020 – 03/15/2020.,Orthostatic Intolerance,03/01/2020 – 03/15/2020,success
I’ve been suffering from Chronic Fatigue Syndrome ever since During the holiday season 2019.,Chronic Fatigue Syndrome,During the holiday season 2019,success
"Since Since last night at midnight, I’ve been dealing with Iliotibial Band Syndrome (ITBS).",Iliotibial Band Syndrome (ITBS),Since last night at midnight,success
I’ve been suffering from Hyperthyroidism ever since This month (up to today).,Hyperthyroidism,This month (up to today),success
I have had Type 2 Diabetes since 03/11/2020 – 03/14/2020.,Type 2 Diabetes,03/11/2020 – 03/14/2020,success
I’ve been suffering from Muscle Strain ever since 2019/12/20 – 2019/12/27.,Muscle Strain,2019/12/20 – 2019/12/27,success
I’ve been suffering from Benign Prostatic Hyperplasia (BPH) ever since 2020/01/01 – 2020/01/07.,Benign Prostatic Hyperplasia (BPH),2020/01/01 – 2020/01/07,success
"Since Since my last doctor’s visit, I’ve been dealing with Chronic Sinusitis.",Chronic Sinusitis,Since my last doctor’s visit,success
I have had Dehydration since 2020/02/05 – 2020/02/10.,Dehydration,2020/02/05 – 2020/02/10,success
Dehydration have been affecting me since 2020/01/11 – 2020/01/15.,Dehydration,2020/01/11 – 2020/01/15,success
I have had Anxiety Disorder since Past 2 weeks.,Anxiety Disorder,Past 2 weeks,success
I’ve been suffering from Heart Palpitations ever since 03/26/2020 – 03/29/2020.,Heart Palpitations,03/26/2020 – 03/29/2020,success
I have Chronic Fatigue Syndrome since 2019/11/10 – 2019/11/12.,Chronic Fatigue Syndrome,2019/11/10 – 2019/11/12,success
Anxiety Disorder have been affecting me since 2019/11/03 – 2019/11/07.,Anxiety Disorder,2019/11/03 – 2019/11/07,success
"Since From 07:00 PM to 10:00 PM yesterday, I’ve been dealing with Rheumatoid Arthritis.",Rheumatoid Arthritis,From 07:00 PM to 10:00 PM yesterday,success
Hypothyroidism have been affecting me since Since turning 30 years old.,Hypothyroidism,Since turning 30 years old,success
"Since 2019/12/01 – 2019/12/05, I’ve been dealing with Orthostatic Intolerance.",Orthostatic Intolerance,2019/12/01 – 2019/12/05,success
I’ve been suffering from Hypertrophic Cardiomyopathy ever since Between 02/10/2020 and 02/20/2020.,Hypertrophic Cardiomyopathy,Between 02/10/2020 and 02/20/2020,success
I have had Postural Orthostatic Tachycardia Syndrome (POTS) since 03/26/2020 – 03/29/2020.,Postural Orthostatic Tachycardia Syndrome (POTS),03/26/2020 – 03/29/2020,success
I have had Osteoarthritis since The first week of November 2019.,Osteoarthritis,The first week of November 2019,success
I have had Heat Exhaustion since The first week of November 2019.,Heat Exhaustion,The first week of November 2019,success
I have Gout since 2019/11/18 – 2019/11/22.,Gout,2019/11/18 – 2019/11/22,success
I have had Joint Sprain since 2020/01/20 – 2020/01/25.,Joint Sprain,2020/01/20 – 2020/01/25,success
I have had Irritable Bowel Syndrome (IBS) since Since last Monday.,Irritable Bowel Syndrome (IBS),Since last Monday,success
I've been experiencing Attention Deficit Hyperactivity Disorder (ADHD) since The first week of November 2019.,Attention Deficit Hyperactivity Disorder (ADHD),The first week of November 2019,success
I’ve been suffering from Bradycardia (Slow Heart Rate) ever since Last month.,Bradycardia (Slow Heart Rate),Last month,success
I have had Acid Reflux (GERD) since 2019/11/05 – 2019/11/06.,Acid Reflux (GERD),2019/11/05 – 2019/11/06,success
I have Benign Prostatic Hyperplasia (BPH) since 2019/11/05 – 2019/11/06.,Benign Prostatic Hyperplasia (BPH),2019/11/05 – 2019/11/06,success
I have had Gout since Past 3 hours.,Gout,Past 3 hours,success
"Since 2019/12/15 – 2019/12/19, I’ve been dealing with Hypotension (Low Blood Pressure).",Hypotension (Low Blood Pressure),2019/12/15 – 2019/12/19,success
I’ve been suffering from Achilles Tendinitis ever since 2020/02/11 – 2020/02/14.,Achilles Tendinitis,2020/02/11 – 2020/02/14,success
"Since Past 2 weeks, I’ve been dealing with Chronic Fatigue Syndrome.",Chronic Fatigue Syndrome,Past 2 weeks,success
I have had Attention Deficit Hyperactivity Disorder (ADHD) since Past 6 hours.,Attention Deficit Hyperactivity Disorder (ADHD),Past 6 hours,success
I’ve been suffering from Asthma ever since During Spring 2020.,Asthma,During Spring 2020,success
I’ve been suffering from Runner’s Knee (Patellofemoral Pain Syndrome) ever since Last 3 hours.,Runner’s Knee (Patellofemoral Pain Syndrome),Last 3 hours,success
I’ve been suffering from Pneumonia ever since 2020/01/11 – 2020/01/15.,Pneumonia,2020/01/11 – 2020/01/15,success
Overtraining Syndrome have been affecting me since Last 3 months.,Overtraining Syndrome,Last 3 months,success
I've been experiencing Heat Exhaustion since The first week of November 2019.,Heat Exhaustion,The first week of November 2019,success
I've been experiencing Shingles (Herpes Zoster) since 2020/02/05 – 2020/02/10.,Shingles (Herpes Zoster),2020/02/05 – 2020/02/10,success
I have had Polycystic Ovary Syndrome (PCOS) since Since my last doctor’s visit.,Polycystic Ovary Syndrome (PCOS),Since my last doctor’s visit,success
I've been experiencing Fibromyalgia since 2019/12/01 – 2019/12/05.,Fibromyalgia,2019/12/01 – 2019/12/05,success
I’ve been suffering from Bradycardia (Slow Heart Rate) ever since The entire month of February 2020.,Bradycardia (Slow Heart Rate),The entire month of February 2020,success
Shingles (Herpes Zoster) have been affecting me since 2020/02/11 – 2020/02/14.,Shingles (Herpes Zoster),2020/02/11 – 2020/02/14,success
I've been experiencing Iliotibial Band Syndrome (ITBS) since 2019/11/05 – 2019/11/06.,Iliotibial Band Syndrome (ITBS),2019/11/05 – 2019/11/06,success
I've been experiencing Anxiety Disorder since 2020/01/20 – 2020/01/25.,Anxiety Disorder,2020/01/20 – 2020/01/25,success
Hypertrophic Cardiomyopathy have been affecting me since Since last Monday.,Hypertrophic Cardiomyopathy,Since last Monday,success
"Since 03/20/2020 – 03/27/2020, I’ve been dealing with Myofascial Pain Syndrome.",Myofascial Pain Syndrome,03/20/2020 – 03/27/2020,success
I have had High Cholesterol (Hyperlipidemia) since Over the last school semester.,High Cholesterol (Hyperlipidemia),Over the last school semester,success
I’ve been suffering from High Cholesterol (Hyperlipidemia) ever since Since last Monday.,High Cholesterol (Hyperlipidemia),Since last Monday,success
I have Chronic Kidney Disease since For the past 4 days.,Chronic Kidney Disease,For the past 4 days,success
Heat Exhaustion have been affecting me since 03/01/2020 – 03/05/2020.,Heat Exhaustion,03/01/2020 – 03/05/2020,success
"Since Past 2 weeks, I’ve been dealing with Anxiety Disorder.",Anxiety Disorder,Past 2 weeks,success
I have Fibromyalgia since The last quarter of 2019.,Fibromyalgia,The last quarter of 2019,success
I have had Shin Splints since 03/01/2020 – 03/15/2020.,Shin Splints,03/01/2020 – 03/15/2020,success
"Since The last quarter of 2019, I’ve been dealing with Peripheral Neuropathy.",Peripheral Neuropathy,The last quarter of 2019,success
I have had Chronic Sinusitis since Past 6 hours.,Chronic Sinusitis,Past 6 hours,success
I've been experiencing Anxiety Disorder since 03/15/2020 – 03/19/2020.,Anxiety Disorder,03/15/2020 – 03/19/2020,success
Muscle Strain have been affecting me since Last 3 months.,Muscle Strain,Last 3 months,success
I have had High Cholesterol (Hyperlipidemia) since Since the COVID-19 pandemic began.,High Cholesterol (Hyperlipidemia),Since the COVID-19 pandemic began,success
Acid Reflux (GERD) have been affecting me since The second half of November 2019.,Acid Reflux (GERD),The second half of November 2019,success
Runner’s Knee (Patellofemoral Pain Syndrome) have been affecting me since This month (up to today).,Runner’s Knee (Patellofemoral Pain Syndrome),This month (up to today),success
I have Celiac Disease since Since last Monday.,Celiac Disease,Since last Monday,success
"Since 2019/11/05 – 2019/11/06, I’ve been dealing with Migraine.",Migraine,2019/11/05 – 2019/11/06,success
I’ve been suffering from Myofascial Pain Syndrome ever since 12/30/2019 – 01/10/2020.,Myofascial Pain Syndrome,12/30/2019 – 01/10/2020,success
"Since 2020/01/28 – 2020/02/02, I’ve been dealing with Tachycardia (Fast Heart Rate).",Tachycardia (Fast Heart Rate),2020/01/28 – 2020/02/02,success
I have Exertional Rhabdomyolysis since 03/20/2020 – 03/27/2020.,Exertional Rhabdomyolysis,03/20/2020 – 03/27/2020,success
"Since 2019/12/15 – 2019/12/19, I’ve been dealing with Chronic Sinusitis.",Chronic Sinusitis,2019/12/15 – 2019/12/19,success
I’ve been suffering from Fatigue from Iron Deficiency ever since 2019/11/05 – 2019/11/06.,Fatigue from Iron Deficiency,2019/11/05 – 2019/11/06,success
I have Fatigue from Iron Deficiency since This month (up to today).,Fatigue from Iron Deficiency,This month (up to today),success
I’ve been suffering from Dehydration ever since Since last Monday.,Dehydration,Since last Monday,success
"Since Since last night at midnight, I’ve been dealing with Exertional Rhabdomyolysis.",Exertional Rhabdomyolysis,Since last night at midnight,success
Osteoarthritis have been affecting me since 12/30/2019 – 01/10/2020.,Osteoarthritis,12/30/2019 – 01/10/2020,success
I've been experiencing Attention Deficit Hyperactivity Disorder (ADHD) since 03/21/2020 – 03/25/2020.,Attention Deficit Hyperactivity Disorder (ADHD),03/21/2020 – 03/25/2020,success
I’ve been suffering from Delayed Onset Muscle Soreness (DOMS) ever since 2020/01/28 – 2020/02/02.,Delayed Onset Muscle Soreness (DOMS),2020/01/28 – 2020/02/02,success
I've been experiencing Hypertension (High Blood Pressure) since For the past 4 days.,Hypertension (High Blood Pressure),For the past 4 days,success
Irritable Bowel Syndrome (IBS) have been affecting me since 2019/11/29 – 2019/12/15.,Irritable Bowel Syndrome (IBS),2019/11/29 – 2019/12/15,success
I’ve been suffering from Fatigue from Iron Deficiency ever since Between 02/10/2020 and 02/20/2020.,Fatigue from Iron Deficiency,Between 02/10/2020 and 02/20/2020,success
I have had Osteoarthritis since Last weekend.,Osteoarthritis,Last weekend,success
I have had Shingles (Herpes Zoster) since From 07:00 PM to 10:00 PM yesterday.,Shingles (Herpes Zoster),From 07:00 PM to 10:00 PM yesterday,success
"Since 2019/12/08 – 2019/12/12, I’ve been dealing with Anemia Eczema (Atopic Dermatitis).",Anemia Eczema (Atopic Dermatitis),2019/12/08 – 2019/12/12,success
I've been experiencing Obesity since For the past 10 minutes.,Obesity,For the past 10 minutes,success
I have had Type 2 Diabetes since Last 3 months.,Type 2 Diabetes,Last 3 months,success
"Since 2020/02/05 – 2020/02/10, I’ve been dealing with Common Cold.",Common Cold,2020/02/05 – 2020/02/10,success
"Since Every morning this week, I’ve been dealing with Glaucoma.",Glaucoma,Every morning this week,success
"Since 2020/02/22 – 2020/02/25, I’ve been dealing with Hypertrophic Cardiomyopathy.",Hypertrophic Cardiomyopathy,2020/02/22 – 2020/02/25,success
I have Restless Legs Syndrome since Between 02/10/2020 and 02/20/2020.,Restless Legs Syndrome,Between 02/10/2020 and 02/20/2020,success
Runner’s Knee (Patellofemoral Pain Syndrome) have been affecting me since Past 1 hour.,Runner’s Knee (Patellofemoral Pain Syndrome),Past 1 hour,success
I've been experiencing Attention Deficit Hyperactivity Disorder (ADHD) since Over the last school semester.,Attention Deficit Hyperactivity Disorder (ADHD),Over the last school semester,success
I’ve been suffering from Plantar Fasciitis ever since Since my last doctor’s visit.,Plantar Fasciitis,Since my last doctor’s visit,success
"Since Between 02/10/2020 and 02/20/2020, I’ve been dealing with Delayed Onset Muscle Soreness (DOMS).",Delayed Onset Muscle Soreness (DOMS),Between 02/10/2020 and 02/20/2020,success
I’ve been suffering from Glaucoma ever since Over the last school semester.,Glaucoma,Over the last school semester,success
I have had Overtraining Syndrome since From 07:00 PM to 10:00 PM yesterday.,Overtraining Syndrome,From 07:00 PM to 10:00 PM yesterday,success
Anxiety Disorder have been affecting me since 2019/11/29 – 2019/12/15.,Anxiety Disorder,2019/11/29 – 2019/12/15,success
I have Myofascial Pain Syndrome since 2020/02/05 – 2020/02/10.,Myofascial Pain Syndrome,2020/02/05 – 2020/02/10,success
